127.0.0.1 - - [29/Sep/2017:08:36:16 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:43:23 +0800] "GET /meeting/jsp/login.jsp HTTP/1.1" 200 4120
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:43:23 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:43:23 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:43:24 +0800] "GET /meeting/jsp/register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:43:25 +0800] "GET /meeting/QueryDepartmentNameServlet HTTP/1.1" 200 4061
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:43:25 +0800] "GET /meeting/js/register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:43:30 +0800] "POST /meeting/CheckUserNameServlet HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:43:38 +0800] "POST /meeting/CheckUserNameServlet HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:43:41 +0800] "POST /meeting/CheckUserNameServlet HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:43:45 +0800] "POST /meeting/CheckUserNameServlet HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:44:25 +0800] "POST /meeting/RegisterServlet HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:44:30 +0800] "GET /meeting/jsp/mybookings.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:44:30 +0800] "GET /meeting/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:44:30 +0800] "GET /meeting/jsp/login.jsp HTTP/1.1" 200 4120
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:44:33 +0800] "POST /meeting/LoginServlet HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:44:33 +0800] "GET /meeting/NotificationsServlet HTTP/1.1" 200 4680
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:44:33 +0800] "GET /meeting/js/notifications.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:44:33 +0800] "POST /meeting/NotificationsServletTwo HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:44:35 +0800] "GET /meeting/jsp/approveaccount.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:44:36 +0800] "GET /meeting/QueryEmployeeServlet HTTP/1.1" 200 8426
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:44:41 +0800] "POST /meeting/ApproveaccountServlet HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:44:44 +0800] "GET /meeting/LoginOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:44:44 +0800] "GET /meeting/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:44:44 +0800] "GET /meeting/jsp/login.jsp HTTP/1.1" 200 4120
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:44:53 +0800] "POST /meeting/LoginServlet HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:44:53 +0800] "GET /meeting/NotificationsServlet HTTP/1.1" 200 3765
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:44:54 +0800] "POST /meeting/NotificationsServletTwo HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:45:06 +0800] "GET /meeting/QuerryAllMeetingRoomServlet HTTP/1.1" 200 6670
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:45:10 +0800] "GET /meeting/QuerrySingleServlet?mid=5 HTTP/1.1" 200 5671
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:45:14 +0800] "GET /meeting/jsp/bookmeeting.jsp HTTP/1.1" 200 9602
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:45:14 +0800] "GET /meeting/js/bookmeeting.js HTTP/1.1" 200 1985
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:45:14 +0800] "GET /meeting/jquery-easyui-1.5.3/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:45:14 +0800] "GET /meeting/jquery-easyui-1.5.3/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:45:14 +0800] "GET /meeting/jquery-easyui-1.5.3/demo.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:45:14 +0800] "GET /meeting/jquery-easyui-1.5.3/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:45:14 +0800] "GET /meeting/jquery-easyui-1.5.3/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:45:14 +0800] "GET /meeting/jquery-easyui-1.5.3/themes/default/images/spinner_arrows.png HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:45:14 +0800] "POST /meeting/QuerryAllMeetingRoomServlet HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:45:14 +0800] "GET /meeting/jquery-easyui-1.5.3/themes/default/images/datebox_arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:45:14 +0800] "GET /meeting/jquery-easyui-1.5.3/themes/default/images/combo_arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:45:14 +0800] "POST /meeting/QueryDepartmentServlet HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:45:14 +0800] "POST /meeting/QueryEmployeeByDidServlet HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:45:37 +0800] "GET /meeting/jquery-easyui-1.5.3/themes/default/images/calendar_arrows.png HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:46:23 +0800] "POST /meeting/QueryEmployeeByDidServlet HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:46:25 +0800] "POST /meeting/MeetingBookServlet HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:46:26 +0800] "GET /meeting/MybookingServlet HTTP/1.1" 200 3775
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:46:36 +0800] "GET /meeting/MymeetingdetailServlet?meetingid=66 HTTP/1.1" 200 4187
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:46:36 +0800] "GET /meeting/js/meetingfetails.js HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:46:36 +0800] "POST /meeting/MeetingDetailsServletTwo HTTP/1.1" 200 541
